N,pi_estimate,absolute_error,execution_time_seconds,time_per_point
1000000,3.142424,8.313464102069901E-4,0.009916221,9.916220999999999E-9
10000000,3.1420176,4.249464102068501E-4,0.029220435,2.9220435E-9
100000000,3.14191608,3.2342641020699503E-4,0.272947269,2.72947269E-9
1000000000,3.141659412,6.675841020697959E-5,2.710619527,2.710619527E-9
10000000000,3.141584102,8.551589793182046E-6,27.437613987,2.7437613986999997E-9
100000000000,3.14160002572,7.372130206739769E-6,274.472501408,2.7447250140800003E-9
